year,count_method,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,light_goods_vehicles,heavy_goods_vehicles,all_motor_vehicles,count_point_id
2004,Estimated using AADF from previous year on this link,1,40,6396,41,1349,355,8181,6819
2003,Manual count,1,38,6390,47,1338,345,8158,6819
2002,Estimated using AADF from previous year on this link,0,57,6392,61,1518,356,8384,6819
2001,Manual count,0,57,6317,57,1407,348,8186,6819
2000,Estimated using AADF from previous year on this link,0,80,5010,47,1160,270,6567,6819
2018,Estimated using AADF from previous year on this link,13,73,4843,3,1638,428,6984,6820
2017,Estimated using AADF from previous year on this link,13,74,4866,3,1564,414,6921,6820
2016,Estimated using AADF from previous year on this link,13,76,4872,3,1478,402,6831,6820
2015,Estimated using AADF from previous year on this link,13,76,4812,3,1368,375,6635,6820
2014,Estimated using AADF from previous year on this link,13,80,4870,3,1278,370,6600,6820
2013,Estimated using AADF from previous year on this link,17,77,4802,3,1189,356,6428,6820
2012,Estimated using AADF from previous year on this link,17,77,4893,3,1108,342,6423,6820
2011,Estimated using AADF from previous year on this link,18,83,5034,3,1056,328,6504,6820
2010,Manual count,21,76,5019,3,998,311,6407,6820
2009,Estimated using AADF from previous year on this link,3,116,4929,45,1343,330,6763,6820
2008,Estimated using AADF from previous year on this link,3,112,4988,45,1318,360,6823,6820
2007,Estimated using AADF from previous year on this link,3,112,5180,42,1318,375,7027,6820
2006,Estimated using AADF from previous year on this link,3,112,5318,39,1195,335,6999,6820
2005,Estimated using AADF from previous year on this link,4,132,5173,40,1139,325,6809,6820
2004,Estimated using AADF from previous year on this link,3,144,5178,40,1085,329,6776,6820
2003,Estimated using AADF from previous year on this link,4,140,5173,47,1076,315,6751,6820
2002,Manual count,4,114,5127,45,955,315,6556,6820
2001,Estimated using AADF from previous year on this link,9,36,4665,24,859,351,5935,6820
2000,Estimated using AADF from previous year on this link,11,33,4651,24,831,351,5890,6820
2024,Manual count,4,200,21673,49,5666,1702,29291,6821
2023,Estimated using AADF from previous year on this link,4,164,22040,22,6247,1289,29762,6821
2022,Manual count,4,176,21508,23,6126,1318,29151,6821
2021,Estimated using AADF from previous year on this link,1,105,17578,58,4563,1261,23566,6821
2020,Estimated using AADF from previous year on this link,2,101,16074,49,3985,1177,21386,6821
2019,Manual count,1,136,22012,76,4656,1314,28194,6821
2018,Estimated using AADF from previous year on this link,1,222,21366,99,4930,1395,28012,6821
2017,Manual count,1,227,21468,104,4708,1370,27878,6821
2016,Estimated using AADF from previous year on this link,10,177,19674,71,4574,1251,25748,6821
2015,Estimated using AADF from previous year on this link,10,177,19433,72,4236,1219,25137,6821
2014,Manual count,10,171,18864,73,3811,1137,24056,6821
2013,Estimated using AADF from previous year on this link,20,178,17151,91,4028,1349,22798,6821
2012,Estimated using AADF from previous year on this link,21,169,17358,88,3794,1312,22721,6821
2011,Estimated using AADF from previous year on this link,22,174,17484,87,3643,1303,22691,6821
2010,Manual count,26,176,17590,86,3561,1316,22729,6821
2009,Manual count,6,201,18723,109,3620,1377,24030,6821
2008,Estimated using AADF from previous year on this link,5,223,18670,216,4063,1758,24930,6821
2007,Estimated using AADF from previous year on this link,5,229,18802,213,4055,1777,25076,6821
2006,Manual count,5,227,18934,225,3660,1761,24807,6821
2005,Estimated using AADF from previous year on this link,2,255,17263,111,3534,1386,22549,6821
2004,Estimated using AADF from previous year on this link,2,266,17386,115,3378,1418,22563,6821
2003,Estimated using AADF from previous year on this link,2,262,17095,139,3036,1383,21915,6821
2002,Manual count,2,241,16727,141,2742,1375,21226,6821
2001,Manual count,3,263,16563,154,2609,1470,21059,6821
2000,Estimated using AADF from previous year on this link,12,192,13477,236,2491,1727,18123,6821
2024,Estimated using AADF from previous year on this link,146,57,12218,92,1936,71,14373,6822
2023,Estimated using AADF from previous year on this link,152,57,12073,92,1902,71,14195,6822
2022,Estimated using AADF from previous year on this link,161,61,11781,93,1865,71,13872,6822
2021,Manual count,165,55,10976,87,1675,69,12863,6822
2020,Estimated using AADF from previous year on this link,158,75,8838,52,1302,97,10365,6822
2019,Estimated using AADF from previous year on this link,123,101,12103,81,1522,109,13915,6822
2018,Estimated using AADF from previous year on this link,102,94,12076,82,1527,109,13887,6822
2017,Manual count,104,96,12134,86,1458,107,13881,6822
2016,Estimated using AADF from previous year on this link,272,121,13824,141,2260,138,16483,6822
2015,Estimated using AADF from previous year on this link,291,123,13611,152,2069,136,16091,6822
2014,Estimated using AADF from previous year on this link,314,140,13347,141,1973,142,15743,6822
2013,Estimated using AADF from previous year on this link,323,146,12995,147,1845,139,15270,6822
2012,Estimated using AADF from previous year on this link,327,131,13110,140,1775,137,15293,6822
2011,Estimated using AADF from previous year on this link,346,137,13318,129,1754,135,15473,6822
2010,Estimated using AADF from previous year on this link,314,163,13358,136,1572,132,15361,6822
2009,Estimated using AADF from previous year on this link,312,172,13438,120,1472,126,15328,6822
2008,Manual count,312,154,13149,122,1450,136,15011,6822
2007,Manual count,84,120,13106,205,1518,168,15117,6822
2006,Manual count,127,151,12157,222,1394,147,14071,6822
2005,Estimated using AADF from previous year on this link,169,93,11781,168,1258,154,13454,6822
2004,Manual count,201,112,12348,178,1179,144,13961,6822
2003,Manual count,254,76,12087,211,1105,113,13592,6822
2002,Manual count,159,105,12121,146,1068,114,13554,6822
2001,Estimated using AADF from previous year on this link,144,191,14313,189,1608,218,16519,6822
2000,Manual count,150,182,14771,180,1597,226,16956,6822
2024,Estimated using AADF from previous year on this link,1,107,11702,52,2822,639,15321,6824
2023,Estimated using AADF from previous year on this link,1,108,11563,52,2772,641,15136,6824
2022,Estimated using AADF from previous year on this link,1,116,11284,52,2719,666,14837,6824
2021,Manual count,1,105,10513,49,2441,648,13755,6824
2020,Estimated using AADF from previous year on this link,2,96,7135,17,1659,598,9506,6824
2019,Estimated using AADF from previous year on this link,1,129,9771,27,1939,672,12537,6824
2018,Estimated using AADF from previous year on this link,1,120,9749,28,1945,663,12505,6824
2017,Manual count,1,123,9796,29,1857,645,12451,6824
2016,Estimated using AADF from previous year on this link,4,139,9662,59,2291,508,12660,6824
2015,Estimated using AADF from previous year on this link,4,139,9543,60,2122,489,12353,6824
2014,Estimated using AADF from previous year on this link,4,145,9657,59,1982,480,12324,6824
2013,Estimated using AADF from previous year on this link,5,141,9524,58,1844,470,12037,6824
2012,Manual count,5,140,9703,63,1718,466,12089,6824
2011,Estimated using AADF from previous year on this link,3,74,9246,84,1916,486,11806,6824
2010,Estimated using AADF from previous year on this link,3,68,9218,80,1811,472,11649,6824
2009,Estimated using AADF from previous year on this link,3,77,9396,78,1760,471,11782,6824
2008,Manual count,3,74,9510,78,1727,519,11908,6824
2007,Manual count,2,164,10146,143,1807,615,12875,6824
2006,Manual count,3,53,9172,102,1549,565,11441,6824
2005,Manual count,5,114,10074,104,1726,599,12617,6824
2004,Manual count,5,137,10690,106,1804,578,13315,6824
2003,Manual count,4,114,9413,97,1379,536,11539,6824
2002,Manual count,0,92,9397,131,1479,537,11636,6824
2001,Manual count,6,155,9126,131,1442,535,11389,6824
2000,Manual count,23,112,8104,128,1205,718,10267,6824
2024,Estimated using AADF from previous year on this link,411,131,9682,130,1276,88,11307,6826
2023,Estimated using AADF from previous year on this link,406,127,9537,129,1254,88,11135,6826
2022,Estimated using AADF from previous year on this link,413,129,9361,128,1233,89,10940,6826
2021,Estimated using AADF from previous year on this link,462,118,8765,119,1137,86,10225,6826
2020,Estimated using AADF from previous year on this link,566,111,7955,115,1043,80,9305,6826
2019,Manual count,495,151,10473,183,1182,91,12080,6826
2018,Estimated using AADF from previous year on this link,233,172,9084,219,1404,102,10981,6826
2017,Estimated using AADF from previous year on this link,211,174,9185,242,1378,101,11080,6826
2016,Estimated using AADF from previous year on this link,221,172,9253,259,1309,101,11095,6826
2015,Estimated using AADF from previous year on this link,237,176,9111,279,1198,100,10865,6826
2014,Estimated using AADF from previous year on this link,255,200,8934,259,1143,103,10639,6826
2013,Estimated using AADF from previous year on this link,262,209,8698,269,1068,99,10344,6826
2012,Estimated using AADF from previous year on this link,266,187,8776,258,1028,97,10346,6826
2011,Manual count,281,196,8915,237,1016,96,10460,6826
2010,Estimated using AADF from previous year on this link,146,25,10540,145,1558,172,12440,6826
2009,Estimated using AADF from previous year on this link,146,27,10603,128,1459,163,12380,6826
2008,Estimated using AADF from previous year on this link,146,25,10374,130,1437,175,12141,6826
2007,Estimated using AADF from previous year on this link,130,26,10607,150,1407,175,12365,6826
2006,Estimated using AADF from previous year on this link,209,28,10780,164,1337,189,12498,6826
2005,Estimated using AADF from previous year on this link,133,32,10988,177,1316,198,12711,6826
2004,Estimated using AADF from previous year on this link,157,38,11518,188,1236,186,13166,6826
2003,Manual count,194,59,11370,229,1122,156,12936,6826
2002,Estimated using AADF from previous year on this link,136,151,10938,226,1032,161,12508,6826
2001,Estimated using AADF from previous year on this link,131,146,10766,224,963,167,12266,6826
2000,Manual count,136,139,11110,214,956,171,12590,6826
2024,Estimated using AADF from previous year on this link,7,55,7769,63,1783,313,9982,6827
2023,Estimated using AADF from previous year on this link,7,55,7676,63,1751,314,9859,6827
2022,Estimated using AADF from previous year on this link,7,59,7491,64,1717,320,9652,6827
2021,Estimated using AADF from previous year on this link,7,54,6979,59,1542,311,8946,6827
2020,Estimated using AADF from previous year on this link,10,52,6382,50,1346,288,8119,6827
2019,Estimated using AADF from previous year on this link,8,70,8740,78,1573,323,10784,6827
2018,Manual count,6,65,8720,79,1578,321,10764,6827
2017,Estimated using AADF from previous year on this link,19,66,8536,88,2013,284,10988,6827
2016,Estimated using AADF from previous year on this link,19,68,8546,91,1902,277,10884,6827
2015,Estimated using AADF from previous year on this link,19,68,8441,92,1761,267,10630,6827
2014,Estimated using AADF from previous year on this link,19,71,8542,90,1646,263,10612,6827
2013,Manual count,24,69,8424,88,1531,260,10372,6827
2012,Estimated using AADF from previous year on this link,19,158,8434,76,1579,249,10496,6827
2011,Estimated using AADF from previous year on this link,20,171,8677,77,1505,244,10674,6827
2010,Estimated using AADF from previous year on this link,23,157,8651,74,1422,235,10539,6827
2009,Manual count,23,178,8819,72,1382,233,10684,6827
2008,Estimated using AADF from previous year on this link,22,136,8865,135,1757,377,11270,6827
2007,Estimated using AADF from previous year on this link,22,136,9206,122,1757,394,11615,6827
2006,Estimated using AADF from previous year on this link,22,137,9452,112,1593,360,11654,6827
2005,Estimated using AADF from previous year on this link,22,162,9194,119,1519,353,11347,6827
2004,Estimated using AADF from previous year on this link,22,176,9203,119,1447,363,11308,6827
2003,Estimated using AADF from previous year on this link,22,170,9194,138,1435,351,11288,6827
2002,Manual count,26,139,9112,133,1273,357,11014,6827
2001,Estimated using AADF from previous year on this link,12,86,8300,76,975,325,9762,6827
2000,Estimated using AADF from previous year on this link,14,77,8275,78,943,325,9698,6827
2024,Manual count,115,90,8402,90,1604,220,10406,6828
2023,Estimated using AADF from previous year on this link,50,128,7893,64,1747,180,10011,6828
2022,Estimated using AADF from previous year on this link,51,129,7747,63,1718,182,9840,6828
2021,Estimated using AADF from previous year on this link,57,118,7253,59,1585,176,9192,6828
2020,Estimated using AADF from previous year on this link,70,112,6584,57,1454,164,8371,6828
2019,Estimated using AADF from previous year on this link,61,151,8667,90,1648,187,10743,6828
2018,Estimated using AADF from previous year on this link,56,161,8560,89,1662,187,10660,6828
2017,Estimated using AADF from previous year on this link,50,163,8655,98,1632,185,10733,6828
2016,Manual count,53,161,8720,105,1550,184,10720,6828
2015,Estimated using AADF from previous year on this link,42,61,8645,124,2215,269,11314,6828
2014,Estimated using AADF from previous year on this link,45,69,8477,115,2112,279,11053,6828
